yr,mnth,decdate,tas,prc
1858,4,1858.375,-0.31,4
1858,5,1858.458333,0.139,4
1858,6,1858.541667,-0.418,4
1858,7,1858.625,-0.401,4
1858,8,1858.708333,-0.469,4
1858,9,1858.791667,-0.09,4
1858,10,1858.875,-1.375,4
1858,11,1858.958333,-0.294,4
1859,0,1859.041667,-0.254,4
1859,1,1859.125,-0.19,4
1859,2,1859.208333,-0.215,4
1859,3,1859.291667,-0.137,4
1859,4,1859.375,-0.042,4
1859,5,1859.458333,-0.138,4
1859,6,1859.541667,-0.1,4
1859,7,1859.625,-0.196,4
1859,8,1859.708333,-0.687,4
1859,9,1859.791667,-0.064,4
1859,10,1859.875,-0.384,4
1859,11,1859.958333,-0.721,4
1860,0,1860.041667,0.301,4
1860,1,1860.125,-0.679,4
1860,2,1860.208333,-0.889,4
1860,3,1860.291667,-0.319,4
1860,4,1860.375,-0.255,4
1860,5,1860.458333,0.085,4
1860,6,1860.541667,-0.115,4
1860,7,1860.625,0,4
1860,8,1860.708333,-0.255,4
1860,9,1860.791667,-0.168,4
1860,10,1860.875,-0.837,4
1860,11,1860.958333,-0.961,4
1861,0,1861.041667,-1.152,4
1861,1,1861.125,0.195,4
1861,2,1861.208333,0.149,4
1861,3,1861.291667,-0.345,4
1861,4,1861.375,-0.764,4
1861,5,1861.458333,0.204,4
1861,6,1861.541667,-0.292,4
1861,7,1861.625,-0.209,4
1861,8,1861.708333,-0.253,4
1861,9,1861.791667,-0.215,4
1861,10,1861.875,-0.533,4
1861,11,1861.958333,-0.221,4
1862,0,1862.041667,-0.843,4
1862,1,1862.125,-1.086,4
1862,2,1862.208333,-0.245,4
1862,3,1862.291667,-0.274,4
1862,4,1862.375,-0.199,4
1862,5,1862.458333,-0.288,4
1862,6,1862.541667,-0.514,4
1862,7,1862.625,-0.792,4
1862,8,1862.708333,-0.38,4
1862,9,1862.791667,-0.604,4
1862,10,1862.875,-0.784,4
1862,11,1862.958333,-0.738,4
1863,0,1863.041667,0.802,3
1863,1,1863.125,0.2,4
1863,2,1863.208333,-0.434,4
1863,3,1863.291667,-0.311,4
1863,4,1863.375,-0.314,4
1863,5,1863.458333,-0.427,4
1863,6,1863.541667,-0.454,3
1863,7,1863.625,-0.482,3
1863,8,1863.708333,-0.68,3
1863,9,1863.791667,-0.644,3
1863,10,1863.875,-0.528,4
1863,11,1863.958333,-0.319,3
1864,0,1864.041667,-1.206,4
1864,1,1864.125,-0.68,4
1864,2,1864.208333,-0.54,4
1864,3,1864.291667,-0.592,4
1864,4,1864.375,-0.466,4
1864,5,1864.458333,-0.07,4
1864,6,1864.541667,-0.123,4
1864,7,1864.625,-0.549,4
1864,8,1864.708333,-0.214,4
1864,9,1864.791667,-1.106,4
1864,10,1864.875,-0.891,4
1864,11,1864.958333,-0.861,4
1865,0,1865.041667,-0.325,4
1865,1,1865.125,-1.01,4
1865,2,1865.208333,-0.95,4
1865,3,1865.291667,0.025,4
1865,4,1865.375,-0.223,4
1865,5,1865.458333,-0.021,4
1865,6,1865.541667,0.001,4
1865,7,1865.625,-0.325,4
1865,8,1865.708333,0.175,4
1865,9,1865.791667,-0.521,4
1865,10,1865.875,0.016,4
1865,11,1865.958333,-0.479,4
1866,0,1866.041667,0.237,4
1866,1,1866.125,-0.385,4
1866,2,1866.208333,-0.781,4
1866,3,1866.291667,-0.145,4
1866,4,1866.375,-0.503,4
1866,5,1866.458333,-0.174,4
1866,6,1866.541667,-0.256,4
1866,7,1866.625,-0.464,4
1866,8,1866.708333,-0.146,4
1866,9,1866.791667,-0.663,4
1866,10,1866.875,-0.717,4
1866,11,1866.958333,-0.428,4
1867,0,1867.041667,-0.595,4
1867,1,1867.125,0.337,4
1867,2,1867.208333,-1.319,4
1867,3,1867.291667,-0.376,4
1867,4,1867.375,-0.722,4
1867,5,1867.458333,-0.167,4
1867,6,1867.541667,-0.367,4
1867,7,1867.625,-0.169,4
1867,8,1867.708333,-0.083,4
1867,9,1867.791667,-0.1,4
1867,10,1867.875,-0.483,4
1867,11,1867.958333,-0.728,4
1868,0,1868.041667,-1.212,4
1868,1,1868.125,-0.845,4
1868,2,1868.208333,-0.145,4
1868,3,1868.291667,-0.602,4
1868,4,1868.375,0.118,5
1868,5,1868.458333,0.01,5
1868,6,1868.541667,0.187,4
1868,7,1868.625,-0.104,5
1868,8,1868.708333,-0.34,5
1868,9,1868.791667,-0.174,4
1868,10,1868.875,-0.778,5
1868,11,1868.958333,-0.308,5
1869,0,1869.041667,0.002,5
1869,1,1869.125,0.366,5
1869,2,1869.208333,-0.915,5
1869,3,1869.291667,-0.33,5
1869,4,1869.375,-0.463,5
1869,5,1869.458333,-0.306,5
1869,6,1869.541667,-0.337,4
1869,7,1869.625,-0.008,5
1869,8,1869.708333,-0.112,5
1869,9,1869.791667,-0.872,5
1869,10,1869.875,-0.537,5
1869,11,1869.958333,-0.228,5
1870,0,1870.041667,0.201,5
1870,1,1870.125,-0.527,5
1870,2,1870.208333,-0.978,5
1870,3,1870.291667,-0.405,5
1870,4,1870.375,-0.076,5
1870,5,1870.458333,0.272,5
1870,6,1870.541667,0.011,5
1870,7,1870.625,-0.677,5
1870,8,1870.708333,-0.238,5
1870,9,1870.791667,-0.266,5
1870,10,1870.875,-0.207,5
1870,11,1870.958333,-1.303,5
1871,0,1871.041667,-0.703,5
1871,1,1871.125,-0.841,5
1871,2,1871.208333,-0.161,5
1871,3,1871.291667,-0.268,5
1871,4,1871.375,-0.331,5
1871,5,1871.458333,-0.242,5
1871,6,1871.541667,0.032,5
1871,7,1871.625,0.108,5
1871,8,1871.708333,-0.506,5
1871,9,1871.791667,-0.708,5
1871,10,1871.875,-1.045,5
1871,11,1871.958333,-0.793,5
1872,0,1872.041667,0.072,5
1872,1,1872.125,-0.268,5
1872,2,1872.208333,-0.374,5
1872,3,1872.291667,-0.123,5
1872,4,1872.375,-0.096,5
1872,5,1872.458333,0.013,5
1872,6,1872.541667,-0.06,5
1872,7,1872.625,-0.5,5
1872,8,1872.708333,-0.086,5
1872,9,1872.791667,-0.096,5
1872,10,1872.875,-0.274,5
1872,11,1872.958333,-0.387,5
1873,0,1873.041667,-0.067,6
1873,1,1873.125,-0.579,6
1873,2,1873.208333,-0.553,6
1873,3,1873.291667,-0.795,5
1873,4,1873.375,-0.259,6
1873,5,1873.458333,0.405,6
1873,6,1873.541667,-0.217,6
1873,7,1873.625,0.123,6
1873,8,1873.708333,-0.146,6
1873,9,1873.791667,-0.282,6
1873,10,1873.875,-0.718,6
1873,11,1873.958333,0.11,5
1874,0,1874.041667,0.186,6
1874,1,1874.125,-0.515,6
1874,2,1874.208333,-0.823,6
1874,3,1874.291667,-0.4,6
1874,4,1874.375,-0.783,6
1874,5,1874.458333,-0.225,6
1874,6,1874.541667,-0.181,6
1874,7,1874.625,-0.128,6
1874,8,1874.708333,-0.103,6
1874,9,1874.791667,-0.308,6
1874,10,1874.875,-0.796,6
1874,11,1874.958333,-0.222,6
1875,0,1875.041667,-0.815,6
1875,1,1875.125,-1.113,6
1875,2,1875.208333,-1.175,6
1875,3,1875.291667,-0.614,6
1875,4,1875.375,-0.195,6
1875,5,1875.458333,-0.212,6
1875,6,1875.541667,-0.226,6
1875,7,1875.625,-0.274,6
1875,8,1875.708333,-0.449,6
1875,9,1875.791667,-0.631,6
1875,10,1875.875,-0.842,6
1875,11,1875.958333,-0.53,6
1876,0,1876.041667,-0.073,7
1876,1,1876.125,-0.031,7
1876,2,1876.208333,-0.246,7
1876,3,1876.291667,-0.166,7
1876,4,1876.375,-0.377,7
1876,5,1876.458333,-0.103,6
1876,6,1876.541667,0.229,6
1876,7,1876.625,-0.184,6
1876,8,1876.708333,-0.012,7
1876,9,1876.791667,-0.281,7
1876,10,1876.875,-0.978,7
1876,11,1876.958333,-0.974,6
1877,0,1877.041667,-0.031,6
1877,1,1877.125,0.179,6
1877,2,1877.208333,-0.346,6
1877,3,1877.291667,-0.457,6
1877,4,1877.375,-0.78,6
1877,5,1877.458333,-0.013,6
1877,6,1877.541667,0.333,6
1877,7,1877.625,0.28,6
1877,8,1877.708333,-0.225,7
1877,9,1877.791667,-0.256,7
1877,10,1877.875,0.072,7
1877,11,1877.958333,0.222,7
1878,0,1878.041667,-0.129,7
1878,1,1878.125,0.26,7
1878,2,1878.208333,0.512,7
1878,3,1878.291667,0.423,7
1878,4,1878.375,-0.422,7
1878,5,1878.458333,-0.149,7
1878,6,1878.541667,0.068,7
1878,7,1878.625,0.071,7
1878,8,1878.708333,0.359,7
1878,9,1878.791667,0.239,7
1878,10,1878.875,0.139,7
1878,11,1878.958333,-0.614,7
1879,0,1879.041667,-0.312,7
1879,1,1879.125,-0.355,7
1879,2,1879.208333,-0.345,7
1879,3,1879.291667,-0.472,7
1879,4,1879.375,-0.467,7
1879,5,1879.458333,-0.465,7
1879,6,1879.541667,-0.222,7
1879,7,1879.625,-0.249,7
1879,8,1879.708333,-0.189,7
1879,9,1879.791667,-0.158,7
1879,10,1879.875,-0.592,7
1879,11,1879.958333,-0.839,7
1880,0,1880.041667,0.231,8
1880,1,1880.125,-0.106,8
1880,2,1880.208333,-0.296,7
1880,3,1880.291667,-0.19,8
1880,4,1880.375,-0.096,8
1880,5,1880.458333,0.002,8
1880,6,1880.541667,-0.113,8
1880,7,1880.625,0.275,8
1880,8,1880.708333,-0.092,7
1880,9,1880.791667,-0.786,8
1880,10,1880.875,-0.753,8
1880,11,1880.958333,-0.289,8
1881,0,1881.041667,-0.992,8
1881,1,1881.125,-0.421,8
1881,2,1881.208333,-0.542,8
1881,3,1881.291667,-0.329,8
1881,4,1881.375,0.044,8
1881,5,1881.458333,-0.504,8
1881,6,1881.541667,-0.285,8
1881,7,1881.625,-0.073,8
1881,8,1881.708333,0.059,8
1881,9,1881.791667,-0.438,8
1881,10,1881.875,-0.433,8
1881,11,1881.958333,0.328,8
1882,0,1882.041667,0.66,8
1882,1,1882.125,0.181,8
1882,2,1882.208333,0.297,8
1882,3,1882.291667,-0.443,9
1882,4,1882.375,-0.55,9
1882,5,1882.458333,-0.503,8
1882,6,1882.541667,-0.377,9
1882,7,1882.625,0.079,9
1882,8,1882.708333,0.144,8
1882,9,1882.791667,-0.104,9
1882,10,1882.875,-0.427,8
1882,11,1882.958333,-0.562,8
1883,0,1883.041667,-0.683,8
1883,1,1883.125,-0.662,8
1883,2,1883.208333,-0.744,8
1883,3,1883.291667,-0.503,9
1883,4,1883.375,-0.441,9
1883,5,1883.458333,0.224,8
1883,6,1883.541667,-0.171,9
1883,7,1883.625,-0.313,8
1883,8,1883.708333,-0.461,9
1883,9,1883.791667,-0.419,8
1883,10,1883.875,-0.45,8
1883,11,1883.958333,-0.235,8
1884,0,1884.041667,-0.48,9
1884,1,1884.125,-0.325,9
1884,2,1884.208333,-0.558,9
1884,3,1884.291667,-0.807,9
1884,4,1884.375,-0.867,9
1884,5,1884.458333,-0.6,9
1884,6,1884.541667,-0.553,9
1884,7,1884.625,0.061,9
1884,8,1884.708333,-0.228,9
1884,9,1884.791667,-0.356,9
1884,10,1884.875,-0.733,9
1884,11,1884.958333,-0.508,9
1885,0,1885.041667,-0.985,9
1885,1,1885.125,-0.64,9
1885,2,1885.208333,-0.842,9
1885,3,1885.291667,-0.761,9
1885,4,1885.375,-0.687,9
1885,5,1885.458333,-0.588,9
1885,6,1885.541667,-0.344,9
1885,7,1885.625,-0.407,9
1885,8,1885.708333,-0.171,9
1885,9,1885.791667,-0.268,9
1885,10,1885.875,-0.27,9
1885,11,1885.958333,0.077,9
1886,0,1886.041667,-0.535,9
1886,1,1886.125,-0.759,9
1886,2,1886.208333,-0.636,9
1886,3,1886.291667,-0.147,9
1886,4,1886.375,-0.355,9
1886,5,1886.458333,-0.536,9
1886,6,1886.541667,-0.282,9
1886,7,1886.625,-0.314,9
1886,8,1886.708333,-0.144,9
1886,9,1886.791667,-0.627,9
1886,10,1886.875,-0.344,9
1886,11,1886.958333,-0.296,9
1887,0,1887.041667,-0.439,9
1887,1,1887.125,-0.723,10
1887,2,1887.208333,-0.45,9
1887,3,1887.291667,-0.53,9
1887,4,1887.375,-0.572,9
1887,5,1887.458333,-0.399,9
1887,6,1887.541667,-0.307,9
1887,7,1887.625,-0.358,10
1887,8,1887.708333,-0.426,10
1887,9,1887.791667,-0.746,10
1887,10,1887.875,-0.647,9
1887,11,1887.958333,-0.526,9
1888,0,1888.041667,-0.907,10
1888,1,1888.125,-0.846,10
1888,2,1888.208333,-1.27,10
1888,3,1888.291667,-0.25,10
1888,4,1888.375,-0.707,10
1888,5,1888.458333,-0.308,10
1888,6,1888.541667,-0.345,10
1888,7,1888.625,-0.364,10
1888,8,1888.708333,-0.136,10
1888,9,1888.791667,-0.304,10
1888,10,1888.875,-0.26,10
1888,11,1888.958333,-0.081,10
1889,0,1889.041667,-0.334,10
1889,1,1889.125,-0.301,10
1889,2,1889.208333,-0.164,10
1889,3,1889.291667,-0.024,10
1889,4,1889.375,0.071,10
1889,5,1889.458333,-0.227,10
1889,6,1889.541667,-0.346,10
1889,7,1889.625,-0.49,10
1889,8,1889.708333,-0.559,10
1889,9,1889.791667,-0.272,10
1889,10,1889.875,-0.567,10
1889,11,1889.958333,0.158,10
1890,0,1890.041667,-0.12,11
1890,1,1890.125,-0.468,11
1890,2,1890.208333,-0.483,11
1890,3,1890.291667,-0.248,11
1890,4,1890.375,-0.637,11
1890,5,1890.458333,-0.252,11
1890,6,1890.541667,-0.589,11
1890,7,1890.625,-0.555,11
1890,8,1890.708333,-0.329,11
1890,9,1890.791667,-0.574,11
1890,10,1890.875,-0.698,11
1890,11,1890.958333,-0.603,11
1891,0,1891.041667,-0.928,11
1891,1,1891.125,-0.924,11
1891,2,1891.208333,-0.716,11
1891,3,1891.291667,-0.688,11
1891,4,1891.375,-0.408,11
1891,5,1891.458333,-0.439,11
1891,6,1891.541667,-0.577,11
1891,7,1891.625,-0.598,11
1891,8,1891.708333,-0.322,11
1891,9,1891.791667,-0.515,11
1891,10,1891.875,-0.716,11
1891,11,1891.958333,0.014,11
1892,0,1892.041667,-0.63,11
1892,1,1892.125,-0.057,11
1892,2,1892.208333,-0.597,11
1892,3,1892.291667,-0.817,11
1892,4,1892.375,-0.82,11
1892,5,1892.458333,-0.496,11
1892,6,1892.541667,-0.507,11
1892,7,1892.625,-0.34,11
1892,8,1892.708333,-0.423,11
1892,9,1892.791667,-0.526,11
1892,10,1892.875,-0.66,11
1892,11,1892.958333,-1.164,11
1893,0,1893.041667,-1.707,11
1893,1,1893.125,-1.31,11
1893,2,1893.208333,-0.619,11
1893,3,1893.291667,-0.701,11
1893,4,1893.375,-0.737,12
1893,5,1893.458333,-0.636,11
1893,6,1893.541667,-0.229,11
1893,7,1893.625,-0.43,12
1893,8,1893.708333,-0.549,12
1893,9,1893.791667,-0.33,12
1893,10,1893.875,-0.52,12
1893,11,1893.958333,-0.356,12
1894,0,1894.041667,-0.502,12
1894,1,1894.125,-0.545,12
1894,2,1894.208333,-0.335,12
1894,3,1894.291667,-0.513,12
1894,4,1894.375,-0.714,12
1894,5,1894.458333,-0.677,12
1894,6,1894.541667,-0.569,12
1894,7,1894.625,-0.502,12
1894,8,1894.708333,-0.855,12
1894,9,1894.791667,-0.446,12
1894,10,1894.875,-0.345,12
1894,11,1894.958333,-0.419,12
1895,0,1895.041667,-0.982,12
1895,1,1895.125,-1.333,12
1895,2,1895.208333,-0.724,12
1895,3,1895.291667,-0.481,12
1895,4,1895.375,-0.527,12
1895,5,1895.458333,-0.349,12
1895,6,1895.541667,-0.764,12
1895,7,1895.625,-0.325,12
1895,8,1895.708333,-0.216,12
1895,9,1895.791667,-0.281,12
1895,10,1895.875,-0.425,12
1895,11,1895.958333,-0.179,12
1896,0,1896.041667,-0.246,12
1896,1,1896.125,-0.328,12
1896,2,1896.208333,-0.706,12
1896,3,1896.291667,-0.686,12
1896,4,1896.375,-0.455,12
1896,5,1896.458333,-0.398,12
1896,6,1896.541667,-0.321,12
1896,7,1896.625,-0.393,12
1896,8,1896.708333,-0.303,12
1896,9,1896.791667,-0.016,12
1896,10,1896.875,-0.729,12
1896,11,1896.958333,-0.008,12
1897,0,1897.041667,-0.562,13
1897,1,1897.125,-0.352,12
1897,2,1897.208333,-0.675,13
1897,3,1897.291667,0.006,13
1897,4,1897.375,-0.201,13
1897,5,1897.458333,-0.101,13
1897,6,1897.541667,-0.177,13
1897,7,1897.625,-0.356,13
1897,8,1897.708333,-0.158,13
1897,9,1897.791667,-0.327,13
1897,10,1897.875,-0.34,13
1897,11,1897.958333,-0.394,13
1898,0,1898.041667,0.199,13
1898,1,1898.125,-0.405,13
1898,2,1898.208333,-1.02,13
1898,3,1898.291667,-0.622,13
1898,4,1898.375,-0.732,13
1898,5,1898.458333,-0.178,13
1898,6,1898.541667,-0.356,13
1898,7,1898.625,-0.219,13
1898,8,1898.708333,-0.146,13
1898,9,1898.791667,-0.534,13
1898,10,1898.875,-0.379,13
1898,11,1898.958333,-0.096,13
1899,0,1899.041667,-0.262,13
1899,1,1899.125,-0.597,13
1899,2,1899.208333,-0.606,13
1899,3,1899.291667,-0.19,13
1899,4,1899.375,-0.495,13
1899,5,1899.458333,-0.543,13
1899,6,1899.541667,-0.293,13
1899,7,1899.625,-0.257,13
1899,8,1899.708333,-0.005,13
1899,9,1899.791667,-0.313,13
1899,10,1899.875,0.167,13
1899,11,1899.958333,-0.373,13
1900,0,1900.041667,-0.333,13
1900,1,1900.125,-0.25,13
1900,2,1900.208333,-0.419,13
1900,3,1900.291667,-0.358,13
1900,4,1900.375,-0.277,13
1900,5,1900.458333,0.047,13
1900,6,1900.541667,-0.261,13
1900,7,1900.625,-0.195,13
1900,8,1900.708333,-0.256,13
1900,9,1900.791667,0.198,13
1900,10,1900.875,-0.114,13
1900,11,1900.958333,0.107,13
1901,0,1901.041667,-0.238,14
1901,1,1901.125,-0.456,14
1901,2,1901.208333,-0.267,14
1901,3,1901.291667,-0.176,14
1901,4,1901.375,-0.152,14
1901,5,1901.458333,0.026,14
1901,6,1901.541667,-0.116,14
1901,7,1901.625,-0.133,14
1901,8,1901.708333,-0.074,14
1901,9,1901.791667,-0.2,14
1901,10,1901.875,-0.193,14
1901,11,1901.958333,-0.302,14
1902,0,1902.041667,-0.058,14
1902,1,1902.125,-0.097,14
1902,2,1902.208333,-0.264,14
1902,3,1902.291667,-0.349,14
1902,4,1902.375,-0.305,14
1902,5,1902.458333,-0.232,14
1902,6,1902.541667,-0.38,14
1902,7,1902.625,-0.551,14
1902,8,1902.708333,-0.387,14
1902,9,1902.791667,-0.48,14
1902,10,1902.875,-0.418,14
1902,11,1902.958333,-0.66,14
1903,0,1903.041667,-0.135,14
1903,1,1903.125,0.026,14
1903,2,1903.208333,-0.13,14
1903,3,1903.291667,-0.522,14
1903,4,1903.375,-0.536,14
1903,5,1903.458333,-0.527,14
1903,6,1903.541667,-0.467,14
1903,7,1903.625,-0.466,14
1903,8,1903.708333,-0.369,14
1903,9,1903.791667,-0.532,14
1903,10,1903.875,-0.587,14
1903,11,1903.958333,-0.756,14
1904,0,1904.041667,-0.806,14
1904,1,1904.125,-0.756,14
1904,2,1904.208333,-0.878,14
1904,3,1904.291667,-0.436,14
1904,4,1904.375,-0.533,14
1904,5,1904.458333,-0.465,14
1904,6,1904.541667,-0.472,14
1904,7,1904.625,-0.486,14
1904,8,1904.708333,-0.52,14
1904,9,1904.791667,-0.467,14
1904,10,1904.875,-0.304,14
1904,11,1904.958333,-0.475,14
1905,0,1905.041667,-0.546,15
1905,1,1905.125,-1.157,15
1905,2,1905.208333,-0.497,15
1905,3,1905.291667,-0.604,15
1905,4,1905.375,-0.414,15
1905,5,1905.458333,-0.187,15
1905,6,1905.541667,-0.407,15
1905,7,1905.625,-0.383,15
1905,8,1905.708333,-0.322,15
1905,9,1905.791667,-0.56,15
1905,10,1905.875,-0.138,15
1905,11,1905.958333,-0.102,15
1906,0,1906.041667,0.071,15
1906,1,1906.125,-0.334,15
1906,2,1906.208333,-0.514,15
1906,3,1906.291667,0.092,15
1906,4,1906.375,-0.044,15
1906,5,1906.458333,-0.182,15
1906,6,1906.541667,-0.213,15
1906,7,1906.625,-0.259,15
1906,8,1906.708333,-0.373,15
1906,9,1906.791667,-0.29,15
1906,10,1906.875,-0.642,15
1906,11,1906.958333,-0.258,15
1907,0,1907.041667,-0.625,16
1907,1,1907.125,-0.676,16
1907,2,1907.208333,-0.528,16
1907,3,1907.291667,-0.844,16
1907,4,1907.375,-0.895,16
1907,5,1907.458333,-0.654,16
1907,6,1907.541667,-0.499,16
1907,7,1907.625,-0.597,16
1907,8,1907.708333,-0.428,16
1907,9,1907.791667,-0.21,16
1907,10,1907.875,-0.72,16
1907,11,1907.958333,-0.552,16
1908,0,1908.041667,-0.21,16
1908,1,1908.125,-0.409,16
1908,2,1908.208333,-0.736,16
1908,3,1908.291667,-0.53,16
1908,4,1908.375,-0.454,16
1908,5,1908.458333,-0.428,16
1908,6,1908.541667,-0.406,16
1908,7,1908.625,-0.585,16
1908,8,1908.708333,-0.403,16
1908,9,1908.791667,-0.674,16
1908,10,1908.875,-0.642,16
1908,11,1908.958333,-0.392,16
1909,0,1909.041667,-0.607,16
1909,1,1909.125,-0.684,16
1909,2,1909.208333,-0.728,16
1909,3,1909.291667,-0.759,16
1909,4,1909.375,-0.789,16
1909,5,1909.458333,-0.34,16
1909,6,1909.541667,-0.417,16
1909,7,1909.625,-0.036,16
1909,8,1909.708333,-0.203,16
1909,9,1909.791667,-0.181,16
1909,10,1909.875,-0.181,16
1909,11,1909.958333,-0.703,16
1910,0,1910.041667,-0.174,16
1910,1,1910.125,-0.397,16
1910,2,1910.208333,-0.381,16
1910,3,1910.291667,-0.262,16
1910,4,1910.375,-0.321,17
1910,5,1910.458333,-0.224,16
1910,6,1910.541667,-0.226,16
1910,7,1910.625,-0.165,16
1910,8,1910.708333,-0.145,17
1910,9,1910.791667,-0.464,16
1910,10,1910.875,-0.753,16
1910,11,1910.958333,-0.642,16
1911,0,1911.041667,-0.581,17
1911,1,1911.125,-0.863,17
1911,2,1911.208333,-0.724,17
1911,3,1911.291667,-0.697,17
1911,4,1911.375,-0.458,17
1911,5,1911.458333,-0.544,17
1911,6,1911.541667,-0.309,17
1911,7,1911.625,-0.317,17
1911,8,1911.708333,-0.359,17
1911,9,1911.791667,-0.39,17
1911,10,1911.875,-0.168,17
1911,11,1911.958333,-0.052,17
1912,0,1912.041667,-0.328,17
1912,1,1912.125,-0.012,17
1912,2,1912.208333,-0.403,17
1912,3,1912.291667,-0.358,17
1912,4,1912.375,-0.316,17
1912,5,1912.458333,-0.11,17
1912,6,1912.541667,-0.563,17
1912,7,1912.625,-0.586,17
1912,8,1912.708333,-0.571,17
1912,9,1912.791667,-0.643,17
1912,10,1912.875,-0.509,17
1912,11,1912.958333,-0.221,17
1913,0,1913.041667,-0.257,17
1913,1,1913.125,-0.566,17
1913,2,1913.208333,-0.622,17
1913,3,1913.291667,-0.22,17
1913,4,1913.375,-0.803,17
1913,5,1913.458333,-0.608,17
1913,6,1913.541667,-0.225,17
1913,7,1913.625,-0.207,17
1913,8,1913.708333,-0.338,17
1913,9,1913.791667,-0.354,17
1913,10,1913.875,0.103,17
1913,11,1913.958333,0.163,17
1914,0,1914.041667,0.4,17
1914,1,1914.125,0.113,17
1914,2,1914.208333,-0.115,17
1914,3,1914.291667,-0.222,17
1914,4,1914.375,-0.099,17
1914,5,1914.458333,-0.019,17
1914,6,1914.541667,-0.146,17
1914,7,1914.625,-0.133,17
1914,8,1914.708333,-0.191,17
1914,9,1914.791667,-0.04,17
1914,10,1914.875,-0.262,17
1914,11,1914.958333,-0.27,17
1915,0,1915.041667,-0.115,17
1915,1,1915.125,0.351,17
1915,2,1915.208333,-0.484,17
1915,3,1915.291667,0.085,17
1915,4,1915.375,-0.313,17
1915,5,1915.458333,-0.254,17
1915,6,1915.541667,0.064,17
1915,7,1915.625,-0.161,17
1915,8,1915.708333,0.011,17
1915,9,1915.791667,-0.185,17
1915,10,1915.875,-0.025,17
1915,11,1915.958333,-0.145,17
1916,0,1916.041667,0,17
1916,1,1916.125,-0.08,17
1916,2,1916.208333,-0.557,17
1916,3,1916.291667,-0.314,17
1916,4,1916.375,-0.32,17
