"plotID","date","plotsize","spcode","species","cover","elev","tci","streamdist"
"DELL-02-0129","07-17-1996",1000,"TSUGCAN","Tsuga canadensis",4,877.2,4.17201519,76.16
"DELL-03-0002","07-01-1996",1000,"TSUGCAN","Tsuga canadensis",2,869.1,6.01650381,400.5
"DELL-03-0003","06-20-1996",1000,"TSUGCAN","Tsuga canadensis",2,746.2,3.34025192,141.4
"DELL-03-0006","09-05-1996",1000,"TSUGCAN","Tsuga canadensis",2,1341,6.82645702,230.9
"DELL-03-0007","09-04-1996",1000,"TSUGCAN","Tsuga canadensis",6,1327,4.67902899,148.7
"DELL-03-0008","09-03-1996",1000,"TSUGCAN","Tsuga canadensis",6,1401,3.72033095,261.7
"DELL-03-0010","07-25-1996",1000,"TSUGCAN","Tsuga canadensis",3,1015,7.2793231,10
"DELL-03-0021","07-13-1996",1000,"TSUGCAN","Tsuga canadensis",4,1218,6.22200108,322
"DELL-03-0025","07-22-1996",1000,"TSUGCAN","Tsuga canadensis",7,1213,4.18668318,335.4
"DELL-03-0028","06-12-1996",1000,"TSUGCAN","Tsuga canadensis",6,866.8,4.58699608,223.6
"DELL-03-0029","08-26-1996",1000,"TSUGCAN","Tsuga canadensis",4,870.8,11.76,36.06
"DELL-03-0114","07-24-1996",1000,"TSUGCAN","Tsuga canadensis",3,1229,4.56738806,518.7
"DLAP-01-0012","07-01-1976",1000,"TSUGCAN","Tsuga canadensis",2,805.8,5.8314662,350
"DLAP-01-0013","07-02-1976",1000,"TSUGCAN","Tsuga canadensis",3,892.9,5.68822098,30
"DLAP-01-0014","07-02-1976",1000,"TSUGCAN","Tsuga canadensis",4,855.4,6.82961988,164.9
"DSLM-01-0002","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1475,4.81182003,284.3
"DSLM-01-0004","00-00-1972",800,"TSUGCAN","Tsuga canadensis",6,1479,5.1713748,169.7
"DSLM-01-0009","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1331,3.96793509,110
"DSLM-01-0012","00-00-1972",800,"TSUGCAN","Tsuga canadensis",6,1411,5.41342497,60
"DSLM-01-0025","00-00-1972",800,"TSUGCAN","Tsuga canadensis",4,1313,4.34098196,304.1
"DSLM-01-0028","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1388,4.046278,343.7
